Geneid	Start	EDM_start	EDM_final	EDM_rate	EDM_halftime	ResStError
Nudt11	6047506	0.435714285714286	0	4.08509663836231	2.83157321719575	0.171237483352095
Nudt10	6168695	0.581277213352685	0	1.71693399675098	1.19008795905546	0.0918134909540861
Shroom4	6400144	0.534607838910839	0	2.86027169723089	1.982589262571	0.0573210533649139
Dgkk	6873483	0.580357142857143	0	1.82552610475234	1.26535827254767	0.114496102756825
Clcn5	7158411;7158411	0.477309727309727	0	2.08753997047859	1.44697244484343	0.0400486052696788
2010204K13Rik	7411816;7412103	0.435153155863037	0	1.60456288110514	1.11219823706917	0.0833150900018939
Ppp1r3f	7558561;7558561	0.503387721238938	0	2.64898435376337	1.83613603615849	0.108540364078792
Ccdc22	7593808	0.526960244648318	0	2.84805510148132	1.97412136367115	0.0557689773476579
Prickle3	7657378;7658532	0.391362126245847	0	2.17696056988586	1.50895408120656	0.0992632777175308
Plp2	7668115	0.529757343550447	0	3.65895454174362	2.5361940244066	0.0963367723255567
Gpkow	7697133	0.450088351611365	0	2.69014277039235	1.86466487660118	0.0604116480995741
Wdr45	7722219;7722219;7722219;7722926	0.573852480654688	0	3.24311129094135	2.24795344755812	0.116388555747034
Praf2	7728570	0.584181509754029	0	2.36070933163989	1.63631901734775	0.103935890491936
Ccdc120	7731713	0.526160503540519	0	2.15717752834201	1.49524152173753	0.103833394406941
Tfe3	7762660;7762660;7762660;7762660;7763942;7764040	0.557142072098476	0	3.32242069314871	2.30292653609005	0.0816736548524001
Gripap1	7789992;7789992	0.557668177065179	0	2.61838318259017	1.81492492063795	0.0607561308167552
Kcnd1	7823842	0.412618483412322	0	3.34979241257794	2.3218991662395	0.0895449304100283
Otud5	7841830;7841830;7842081	0.519540368015187	0	3.70478324128552	2.56796005828279	0.0756665135532858
Pim2	7878305	0.452380952380952	0	2.36173388631362	1.63702918453117	0.130462173576319
Slc35a2	7884243;7884243	0.458221856349043	0	3.56357784868826	2.47008393852415	0.0742991873812055
Pqbp1	7894518;7894518;7894518	0.471509971509972	0	3.24130578067565	2.24670196320798	0.0495302769625546
Timm17b	7899397	0.523156213704994	0	3.31434848495566	2.29733130774014	0.0791835693135308
Hdac6	7930121;7930121	0.439688398498821	0	3.0009059041244	2.08006946656952	0.0581026413500334
Suv39h1	8061170;8061170	0.59453781512605	0	5.443161342341	3.77291193777656	0.0950646833835058
Wdr13	8123300;8123300;8123300;8123300	0.564230769230769	0	4.0105219361518	2.77988197261743	0.122667880002862
Rbm3	8138974;8142355;8142355;8142355	0.54164252758531	0	4.16735785056992	2.88859234450689	0.10371293782629
Tbc1d25	8154471;8154471	0.500412670339886	0	4.00152976393143	2.77364907379577	0.119562650335064
Ebp	8185330	0.356103147628196	0	2.3356240767057	1.61893124361648	0.0588520175148866
Porcn	8193849;8193849;8193849;8193849	0.52088948787062	0	2.9918519504557	2.07379374411115	0.123854395483473
Ftsj1	8238667;8238667	0.54227590591227	0	4.28261753407546	2.96848426916099	0.0881380792617242
Lancl3	9199972	0.253081726853109	0	1.93325308102443	1.34002892242091	0.0240649104915383
Xk	9272783	0.541092342342342	0.101342923291951	3.26780692316055	3.12109683613031	0.04174811056274
Dynlt3	9654269	NA	NA	NA	NA	NA
Sytl5	9885620;9885620	0.424741739947067	0	1.48769359049086	1.03119061778584	0.0349513820061709
Rpgr	10158215;10158215;10158215;10160608;10180965;10207000	0.434770028180354	0	4.23509945505463	2.93554724666208	0.0593878549799365
Tspan7	10485115	0.565840405139486	0	2.39190199489748	1.6579401239389	0.0610885292506919
Bcor	12036737;12036737;12036737;12036737;12036737	0.472309299895507	0	3.07872921415833	2.13401247450138	0.0811027090830698
Atp6ap2	12587758	0.510766499799806	0	5.30846108404471	3.67954483351779	0.0784855308932794
1810030O07Rik	12654883	0.643400081007808	0	3.70623421563577	2.56896579706274	0.0642685138613174
Med14	12675370;12679743	0.54144894406498	0	3.09856376377931	2.14776073664884	0.0508683705283878
Gm14634	12762277	0.554075235109718	0	2.49032830336997	1.72616404214953	0.0657132976912987
5730405O15Rik	13042014	0.430295566502463	0	2.94270089635003	2.03972482953625	0.111792168284895
Usp9x	13071497	0.536448559341379	0	3.01387223817721	2.08905704446043	0.0616355082241029
Ddx3x	13281021	0.50680187276294	0.068394211291807	3.63074678452777	3.13245233142068	0.0658323036121529
Cask	13517080;13517080;13517080;13517080	0.486489709642141	0	2.28147308076214	1.58139663345369	0.0382343824453188
Maoa	16619697	0.505111810806973	0	2.48744703389341	1.72416689833542	0.0497321653149626
Efhc2	17132048	0.887960462278766	0	4.26611525743313	2.95704576263353	0.194617378847461
Fundc1	17556568	0.619671250537172	0	3.48205380176088	2.4135757752486	0.0918425054984173
Kdm6a	18162666	0.547763906083585	0	7.75934508006446	5.37836816523838	0.0864432613105196
Chst7	20059569	0.413217646853025	0	1.54828762776546	1.07319120388148	0.0500476125938267
Slc9a7	20105754	0.449938645822915	0	1.8185763555448	1.26054107347886	0.0393432011361038
